course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
GGIS 100,GGIS,100,Introduction to Meteorology,3 Hours,Same as ATMS 100. See ATMS 100.,,,Nat Sci & Tech - Phys Sciences,,,,"[GGIS 100 Introduction to Meteorology credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/100>)

Same as [ATMS 100](<https://catalog.illinois.edu/search/?P=ATMS%20100>). See [ATMS 100](<https://catalog.illinois.edu/search/?P=ATMS%20100>).
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 101,GGIS,101,Global Development & Environment,3 Hours,"[IAI Code: S4902N] Introduces geographical perspectives on environment and development studies with case studies drawn from Africa, Asia, and Latin America. Investigates the origins of the global South in relation to the global North, especially the historical and contemporary processes driving environmental, economic, and cultural change.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,,"[GGIS 101 Global Development & Environment credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/101>)

[IAI Code: S4902N] Introduces geographical perspectives on environment and development studies with case studies drawn from Africa, Asia, and Latin America. Investigates the origins of the global South in relation to the global North, especially the historical and contemporary processes driving environmental, economic, and cultural change.
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 103,GGIS,103,Earth's Physical Systems,4 Hours,"A basic introduction to the environmental systems of the Earth's surface, including landforms, soils, and ecosystems and how these systems are affected by global change. Emphasizes the importance of human-Earth relations and a holistic view of environmental systems. Same as ESE 103.",,,Nat Sci & Tech - Phys Sciences,,,,"[GGIS 103 Earth's Physical Systems credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/103>)

A basic introduction to the environmental systems of the Earth's surface, including landforms, soils, and ecosystems and how these systems are affected by global change. Emphasizes the importance of human-Earth relations and a holistic view of environmental systems. Same as [ESE 103](<https://catalog.illinois.edu/search/?P=ESE%20103>).
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 104,GGIS,104,Social and Cultural Geography,4 Hours,"[IAI Code: S4900N] Introduces the basic concepts of social and cultural geography, and the application of these concepts to a variety of topics; mental maps, territoriality, cultural regions, cultural elements and their diffusion, population movement and migration, settlement patterns, environmental hazards, and spatial patterns of social problems.",,,Social & Beh Sci - Soc Sci,,,,"[GGIS 104 Social and Cultural Geography credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/104>)

[IAI Code: S4900N] Introduces the basic concepts of social and cultural geography, and the application of these concepts to a variety of topics; mental maps, territoriality, cultural regions, cultural elements and their diffusion, population movement and migration, settlement patterns, environmental hazards, and spatial patterns of social problems.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 106,GGIS,106,Geographies of Globalization,3 Hours,"A survey of major world regions by systematically considering five themes: environment, population and settlement patterns, cultural coherence and diversity, geopolitical fragmentation and unity, and economic and social development. While examining the persistence of unique regions, the course will both scale up to global linkages and scale down to place-specific impacts of globalization processes. Same as ESE 106.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,,"[GGIS 106 Geographies of Globalization credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/106>)

A survey of major world regions by systematically considering five themes: environment, population and settlement patterns, cultural coherence and diversity, geopolitical fragmentation and unity, and economic and social development. While examining the persistence of unique regions, the course will both scale up to global linkages and scale down to place-specific impacts of globalization processes. Same as [ESE 106](<https://catalog.illinois.edu/search/?P=ESE%20106>).
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 199,GGIS,199,Undergraduate Open Seminar,1 to 5 Hours,Undergraduate Open Seminar. May be repeated.,,,,,,,"[GGIS 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/199>)

Undergraduate Open Seminar. May be repeated.",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 204,GGIS,204,Cities of the World,3 Hours,"In-depth exploration of global urbanization. Using a comparative regional approach, discuss the recent history of global urbanization, dissect its problems, and offer possible solutions. Approximately ten major regions of the world will be examined, exploring the significant urban patterns and processes, built and natural environments, and social, economic, and cultural landscapes of each.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,,"[GGIS 204 Cities of the World credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/204>)

In-depth exploration of global urbanization. Using a comparative regional approach, discuss the recent history of global urbanization, dissect its problems, and offer possible solutions. Approximately ten major regions of the world will be examined, exploring the significant urban patterns and processes, built and natural environments, and social, economic, and cultural landscapes of each.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 205,GGIS,205,Business Location Decisions,3 Hours,"Analyzes location decision-making emphasizing industrial and commercial location patterns; identifies important institutional factors and their changing roles over the recent past; and focuses on plant closings, economic disruptions, and problems of structural change. Same as BADM 205. Prerequisite: ECON 102 or ECON 103, or equivalent.","Prerequisite: ECON 102 or ECON 103, or equivalent.",,,,,,"[GGIS 205 Business Location Decisions credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/205>)

Analyzes location decision-making emphasizing industrial and commercial location patterns; identifies important institutional factors and their changing roles over the recent past; and focuses on plant closings, economic disruptions, and problems of structural change. Same as [BADM 205](<https://catalog.illinois.edu/search/?P=BADM%20205>). Prerequisite: [ECON 102](<https://catalog.illinois.edu/search/?P=ECON%20102>) or [ECON 103](<https://catalog.illinois.edu/search/?P=ECON%20103>), or equivalent.",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 210,GGIS,210,Social & Environmental Issues,3 Hours,"Introduction to the complex relationship between people and the natural environment from a social science perspective. Explores different approaches to environmental issues, and examines the role of population change, political economy, technologies, environmental policymaking, and social institutions in causing and resolving contemporary social and environmental global issues. Same as ESE 210.",,,Social & Beh Sci - Soc Sci,,,,"[GGIS 210 Social & Environmental Issues credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/210>)

Introduction to the complex relationship between people and the natural environment from a social science perspective. Explores different approaches to environmental issues, and examines the role of population change, political economy, technologies, environmental policymaking, and social institutions in causing and resolving contemporary social and environmental global issues. Same as [ESE 210](<https://catalog.illinois.edu/search/?P=ESE%20210>).
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
GGIS 220,GGIS,220,"Landscapes, Ecosystems and Environmental Change",3 Hours,"Addresses the fundamental question of how science can guide sustainable management of landscapes and the associated ecosystems in the era of rapid global environmental change. To achieve this goal, we will integrate basic concepts and methods from a range of disciplines, including earth sciences, ecology, environmental management, and environmental studies.",,,Nat Sci & Tech - Phys Sciences,,,,"[GGIS 220 Landscapes, Ecosystems and Environmental Change credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GGIS/220>)

Addresses the fundamental question of how science can guide sustainable management of landscapes and the associated ecosystems in the era of rapid global environmental change. To achieve this goal, we will integrate basic concepts and methods from a range of disciplines, including earth sciences, ecology, environmental management, and environmental studies.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences",https://catalog.illinois.edu/courses-of-instruction/ggis/,2026–2027
