course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
ITAL 101,ITAL,101,Elementary Italian I,4 Hours,For students who have no credit in Italian.,,For students who have no credit in Italian.,,,,,"[ITAL 101 Elementary Italian I credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/101>)

For students who have no credit in Italian.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 102,ITAL,102,Elementary Italian II,4 Hours,Continuation of ITAL 101. Prerequisite: ITAL 101 or one year of high school Italian.,Prerequisite: ITAL 101 or one year of high school Italian.,,,,,,"[ITAL 102 Elementary Italian II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/102>)

Continuation of [ITAL 101](<https://catalog.illinois.edu/search/?P=ITAL%20101>). Prerequisite: [ITAL 101](<https://catalog.illinois.edu/search/?P=ITAL%20101>) or one year of high school Italian.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 156,ITAL,156,Exploring Rome: History and Culture of the Eternal City,3 Hours,"Examines Rome and its roles (religious, political, cultural) in Italian culture from ancient times to the present day. Through history, film, literature, painting and architecture, we will explore the Rome through its various historical and political developments and the effects the city has had on wider Italian and global perception of the ""Eternal City"". All readings and class meetings are in English.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,,"[ITAL 156 Exploring Rome: History and Culture of the Eternal City credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/156>)

Examines Rome and its roles (religious, political, cultural) in Italian culture from ancient times to the present day. Through history, film, literature, painting and architecture, we will explore the Rome through its various historical and political developments and the effects the city has had on wider Italian and global perception of the ""Eternal City"". All readings and class meetings are in English.
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 191,ITAL,191,Freshman Honors Tutorial,1 to 3 Hours,Study of selected topics on an individually arranged basis. Open only to honors majors or to Cohn Scholars and Associates. May be repeated one time to a maximum of 6 hours. Prerequisite: Consent of departmental honors adviser in Italian.,Prerequisite: Consent of departmental honors adviser in Italian.,,,,,,"[ITAL 191 Freshman Honors Tutorial credit: 1 to 3 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/191>)

Study of selected topics on an individually arranged basis. Open only to honors majors or to Cohn Scholars and Associates. May be repeated one time to a maximum of 6 hours. Prerequisite: Consent of departmental honors adviser in Italian.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 199,ITAL,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for letter and S/U grading. May be repeated to a maximum of 5 hours.,,,,,,,"[ITAL 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/199>)

Approved for letter and S/U grading. May be repeated to a maximum of 5 hours.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 200,ITAL,200,Italian Studies in a Mediterranean Context,3 Hours,"Introduces students to the study of Italy and Italian culture, emphasizing Italy's central position in Mediterranean networks of cultural, economic and linguistic exchange. Prerequisite: ITAL 204 or consent of instructor.",Prerequisite: ITAL 204 or consent of instructor.,,,,,,"[ITAL 200 Italian Studies in a Mediterranean Context credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/200>)

Introduces students to the study of Italy and Italian culture, emphasizing Italy's central position in Mediterranean networks of cultural, economic and linguistic exchange. Prerequisite: [ITAL 204](<https://catalog.illinois.edu/search/?P=ITAL%20204>) or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 203,ITAL,203,Intermediate Italian I,4 Hours,"Continuation of ITAL 102. Introduces students to rapid reading, review of grammar, composition, and conversation. Prerequisite: ITAL 102 or two years of high school Italian.",Prerequisite: ITAL 102 or two years of high school Italian.,,,,,,"[ITAL 203 Intermediate Italian I credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/203>)

Continuation of [ITAL 102](<https://catalog.illinois.edu/search/?P=ITAL%20102>). Introduces students to rapid reading, review of grammar, composition, and conversation. Prerequisite: [ITAL 102](<https://catalog.illinois.edu/search/?P=ITAL%20102>) or two years of high school Italian.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 204,ITAL,204,Intermediate Italian II,4 Hours,"Continuation of ITAL 203. Comprehensive grammar review with emphasis on oral expression and the continued development of reading and written skills. Prerequisite: ITAL 103, ITAL 203, or three years of high school Italian.","Prerequisite: ITAL 103, ITAL 203, or three years of high school Italian.",,,,,,"[ITAL 204 Intermediate Italian II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/204>)

Continuation of [ITAL 203](<https://catalog.illinois.edu/search/?P=ITAL%20203>). Comprehensive grammar review with emphasis on oral expression and the continued development of reading and written skills. Prerequisite: ITAL 103, [ITAL 203](<https://catalog.illinois.edu/search/?P=ITAL%20203>), or three years of high school Italian.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 210,ITAL,210,Practical Review Italian,3 Hours,"Reviews major challenges in Italian grammar, with particular emphasis on the verb system (major tenses and moods, morphology, and aspect) and areas of contrast with English. Prerequisite: Credit or concurrent enrollment in ITAL 204 or equivalent.",Prerequisite: Credit or concurrent enrollment in ITAL 204 or equivalent.,,,,,,"[ITAL 210 Practical Review Italian credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/210>)

Reviews major challenges in Italian grammar, with particular emphasis on the verb system (major tenses and moods, morphology, and aspect) and areas of contrast with English. Prerequisite: Credit or concurrent enrollment in [ITAL 204](<https://catalog.illinois.edu/search/?P=ITAL%20204>) or equivalent.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
ITAL 220,ITAL,220,"Contemporary Italian, Oral and Written",3 Hours,Training in oral-aural skill and in writing.,,,,,,,"[ITAL 220 Contemporary Italian, Oral and Written credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ITAL/220>)

Training in oral-aural skill and in writing.",https://catalog.illinois.edu/courses-of-instruction/ital/,2026–2027
