course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
LING 100,LING,100,Intro to Language Science,3 Hours,Introduction to the theory and methodology of general linguistics; includes the various branches and applications of linguistics.,,,Social & Beh Sci - Soc Sci,,,,"[LING 100 Intro to Language Science credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/100>)

Introduction to the theory and methodology of general linguistics; includes the various branches and applications of linguistics.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 104,LING,104,Talking Culture,3 Hours,Same as ANTH 104. See ANTH 104.,,,Social & Beh Sci - Soc Sci,,,,"[LING 104 Talking Culture credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/104>)

Same as [ANTH 104](<https://catalog.illinois.edu/search/?P=ANTH%20104>). See [ANTH 104](<https://catalog.illinois.edu/search/?P=ANTH%20104>).
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 115,LING,115,Language and Culture in India,3 Hours,"Examines the relationship between language and culture in the multilingual and multicultural context of India. Special topics of focus are: linguistic and cultural diversity in India, impact of the language and cultural contact on the structure and function of languages (convergence, diglossia, code-mixing, pidgins and creoles), language and identity, language of religion, language and gender, language in the media, literature and culture, language and power, language and globalization. Same as HNDI 115 and REL 115.",,,Cultural Studies - Non-West,,,,"[LING 115 Language and Culture in India credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/115>)

Examines the relationship between language and culture in the multilingual and multicultural context of India. Special topics of focus are: linguistic and cultural diversity in India, impact of the language and cultural contact on the structure and function of languages (convergence, diglossia, code-mixing, pidgins and creoles), language and identity, language of religion, language and gender, language in the media, literature and culture, language and power, language and globalization. Same as [HNDI 115](<https://catalog.illinois.edu/search/?P=HNDI%20115>) and [REL 115](<https://catalog.illinois.edu/search/?P=REL%20115>).
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 191,LING,191,Freshman Honors Tutorial,1 to 3 Hours,Study of selected topics on an individually arranged basis. Open only to honors majors or to Cohn Scholars. May be repeated once. Prerequisite: Consent of departmental honors advisor.,Prerequisite: Consent of departmental honors advisor.,,,,,,"[LING 191 Freshman Honors Tutorial credit: 1 to 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/191>)

Study of selected topics on an individually arranged basis. Open only to honors majors or to Cohn Scholars. May be repeated once. Prerequisite: Consent of departmental honors advisor.",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 199,LING,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,,"[LING 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/LING/199>)

May be repeated.",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 210,LING,210,Language History,3 Hours,"Addresses the question ""Why does language change?"" Specific topics include: the history and origin of writing; why pronunciation changes; change in vocabulary and what it tells us about change in culture and society; the relation between ""language"" and ""dialect""; multilingualism and its consequences, including Pidgins and Creoles; genetic relationship between languages, with focus on the ""Indo-European"" family (English, German, French, Russia, Latin, Greek, and Sanskrit, etc.) and the relationships between human languages. Prerequisite: Fulfillment of the foreign language requirement of the College of Liberal Arts and Sciences.",Prerequisite: Fulfillment of the foreign language requirement of the College of Liberal Arts and Sciences.,,,,,,"[LING 210 Language History credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/210>)

Addresses the question ""Why does language change?"" Specific topics include: the history and origin of writing; why pronunciation changes; change in vocabulary and what it tells us about change in culture and society; the relation between ""language"" and ""dialect""; multilingualism and its consequences, including Pidgins and Creoles; genetic relationship between languages, with focus on the ""Indo-European"" family (English, German, French, Russia, Latin, Greek, and Sanskrit, etc.) and the relationships between human languages. Prerequisite: Fulfillment of the foreign language requirement of the College of Liberal Arts and Sciences.",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 221,LING,221,American Sign Language II,4 Hours,Same as SHS 221. See SHS 221.,,,,,,,"[LING 221 American Sign Language II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/LING/221>)

Same as [SHS 221](<https://catalog.illinois.edu/search/?P=SHS%20221>). See [SHS 221](<https://catalog.illinois.edu/search/?P=SHS%20221>).",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 222,LING,222,Language in Globalization,3 Hours,"Introduction to the role of language in globalization by examining communication issues concerning language use across cultural, political and geographic boundaries. Explores the interaction of language and other cultural forms in the global context. Among the topics discussed are issues of identity, spread of English and its acculturation to local contexts of use, creativity in language mixing, language in global pop cultures, language in cyberspace, as well as minority language experiences, and loss of indigenous languages.",,,Cultural Studies - Non-West,,,,"[LING 222 Language in Globalization credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/222>)

Introduction to the role of language in globalization by examining communication issues concerning language use across cultural, political and geographic boundaries. Explores the interaction of language and other cultural forms in the global context. Among the topics discussed are issues of identity, spread of English and its acculturation to local contexts of use, creativity in language mixing, language in global pop cultures, language in cyberspace, as well as minority language experiences, and loss of indigenous languages.
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 225,LING,225,"Language, Mind, and Brain",3 Hours,Introduction to the theory and methodology of psycholinguistics with emphasis on language acquisition and linguistic behavior. Same as PSYC 225.,,,Social & Beh Sci - Beh Sci,,,,"[LING 225 Language, Mind, and Brain credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/225>)

Introduction to the theory and methodology of psycholinguistics with emphasis on language acquisition and linguistic behavior. Same as [PSYC 225](<https://catalog.illinois.edu/search/?P=PSYC%20225>).
This course satisfies the General Education Criteria for:
Social & Beh Sci - Beh Sci",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
LING 250,LING,250,American Voices: Linguistic Diversity in the US,3 Hours,"The United States has a vast and varied linguistic landscape that has been shaped by a unique medley of peoples and cultural practices. From the colonization of North America to contemporary politics and popular culture, language has helped to connect us in many ways, and has also served as a tool for making and maintaining difference. This course explores issues of standardization, language maintenance, linguistic discrimination, identity formation, and many others to consider the ways ""diversity"" is not only a multiplicity of different histories, beliefs, and practices, but can also become a means of interpersonal prejudice and structural inequity.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,,"[LING 250 American Voices: Linguistic Diversity in the US credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/LING/250>)

The United States has a vast and varied linguistic landscape that has been shaped by a unique medley of peoples and cultural practices. From the colonization of North America to contemporary politics and popular culture, language has helped to connect us in many ways, and has also served as a tool for making and maintaining difference. This course explores issues of standardization, language maintenance, linguistic discrimination, identity formation, and many others to consider the ways ""diversity"" is not only a multiplicity of different histories, beliefs, and practices, but can also become a means of interpersonal prejudice and structural inequity.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",https://catalog.illinois.edu/courses-of-instruction/ling/,2026–2027
